1.361	0.2444	0.04427
1.636	-1.084	0.2479
1.71	-2.835	0.2879
1.844	1.049	0.3037
1.661	-0.8653	0.2931
1.525	0.1737	0.274
1.737	2.021	0.3323
1.872	2.272	0.3636
1.736	0.7995	0.3012
1.735	2.997	0.3404
1.226	-1.22	-0.0382
1.702	-0.1277	0.3336
1.727	-3.989	0.2881
1.841	-2.366	0.3139
1.768	-2.78	0.3013
1.645	0.223	0.2736
1.655	-3.021	0.1895
1.507	-0.2337	0.1827
1.623	1.365	0.1725
1.522	0.9393	0.2763
1.141	-0.3173	-0.02259
1.576	0.4137	0.3161
1.587	1.917	0.2991
1.693	1.472	0.2947
1.643	-0.05197	0.3309
1.718	-0.1706	0.2928
1.803	2.673	0.3049
1.814	1.854	0.3082
1.792	-3.094	0.3537
1.765	1.573	0.3558
1.768	-3.994	0.3047
1.714	2.394	0.3248
1.517	-3.854	0.192
1.625	-0.1193	0.2639
1.101	-0.7354	0.03913
1.683	-2.956	0.3498
1.639	0.5903	0.3848
1.772	-1.338	0.3991
1.825	0.8915	0.3263
1.722	2.156	0.2883
1.718	-2.577	0.2852
1.421	-2.682	0.125
1.725	-0.9739	0.2665
1.767	-1.88	0.2938
1.73	-4.82	0.2901
1.688	2.455	0.328
1.78	1.057	0.3299
1.745	2.699	0.3314
1.773	2.986	0.3238
1.855	0.4273	0.3079
1.792	0.5502	0.3088
1.711	-3.296	0.2728
1.695	0.317	0.2533
1.546	-1.177	0.2852
1.556	1.664	0.2493
1.629	-2.989	0.2494
1.685	-4.868	0.262
1.639	2.01	0.2937
1.613	2.547	0.196
1.711	0.3121	0.3062
1.513	-0.3516	0.2493
1.637	-1.733	0.1499
1.615	3.235	0.01538
1.34	-0.7545	0.02032
1.585	2.796	-0.001834
1.481	2.672	0.2899
1.462	2.124	0.2456
1.42	-0.6085	0.1317
1.141	-0.6373	-0.01137
1.356	-1.845	0.1038
1.408	0.9891	0.09928
1.109	1.057	-0.03636
1.608	1.057	0.294
1.521	-1.915	0.1891
1.536	2.063	0.3005
1.545	2.464	0.3166
1.581	2.558	0.3201
1.65	-0.2595	0.3136
1.591	1.339	0.3064
1.668	1.025	0.2975
1.679	0.2972	0.2888
1.611	1.076	0.2964
1.666	1.947	0.2849
1.688	1.216	0.2889
1.685	1.41	0.2953
1.695	-0.9377	0.2966
1.688	0.4447	0.3077
1.635	-0.4117	0.3095
1.624	2.471	0.3174
1.691	-0.5909	0.3435
1.701	-4.999	0.3084
1.729	-0.01194	0.3332
1.771	1.054	0.3401
1.725	0.7405	0.315
1.793	1.97	0.3051
1.801	2.42	0.2967
1.838	0.7908	0.31
