1.249	0.1737	0.1761
1.495	-2.099	0.1984
1.564	-3.339	0.2663
1.571	1.352	0.3226
1.498	-0.7282	0.2914
1.339	-0.1401	0.3018
1.643	1.643	0.3713
1.652	2.378	0.4125
1.538	0.2982	0.283
1.574	2.857	0.3267
1.25	-2.114	-0.0555
1.548	0.9264	0.3494
1.557	-3.815	0.2819
1.551	-4.022	0.3434
1.589	-4.975	0.2844
1.507	-0.6175	0.2833
1.547	-3.022	0.2051
1.417	1.122	0.1836
1.541	1.502	0.236
1.343	0.3494	0.2786
1.075	-0.586	-0.002083
1.406	-1.465	0.3171
1.37	1.62	0.2824
1.584	0.8095	0.286
1.492	0.7164	0.306
1.564	-2.303	0.2651
1.648	2.968	0.3073
1.65	1.197	0.3308
1.665	-1.676	0.3528
1.627	2.417	0.3474
1.557	-3.746	0.2953
1.496	2.399	0.2713
1.383	-3.492	0.22
1.483	-0.1048	0.235
1.055	-0.8042	0.0314
1.707	-6.293	0.3376
1.715	1.211	0.4277
1.893	-2.335	0.4195
1.648	0.9704	0.3789
1.675	1.073	0.349
1.802	-3.418	0.3014
1.38	-0.212	0.08847
1.566	-2.167	0.2444
1.571	-3.032	0.2893
1.569	-5.483	0.2646
1.553	2.909	0.3298
1.549	-0.1509	0.3519
1.549	2.662	0.3416
1.55	2.493	0.333
1.558	-1.732	0.3339
1.582	1.13	0.3164
1.568	-4.478	0.2577
1.546	-0.4213	0.2317
1.388	-0.4991	0.3106
1.44	1.321	0.2587
1.505	-3.007	0.2526
1.55	-4.486	0.2513
1.543	2.425	0.3151
1.536	3.123	0.2401
1.557	0.6479	0.3404
1.351	0.03298	0.2672
1.538	-2.134	0.09586
1.558	3.794	0.02348
1.337	-0.7779	0.04123
1.573	2.622	0.007702
1.299	2.968	0.2988
1.341	1.974	0.2523
1.292	0.2163	0.2176
1.121	-0.8006	0.06068
1.224	-1.612	0.1439
1.306	0.8098	0.1095
1.147	0.5283	-0.0405
1.353	0.7274	0.2892
1.301	-2.623	0.2373
1.333	2.009	0.3162
1.335	2.321	0.3131
1.378	2.435	0.3114
1.533	0.6898	0.3107
1.44	2.003	0.2989
1.542	1.458	0.3088
1.6	0.4606	0.2846
1.445	1.202	0.3191
1.521	2.979	0.2938
1.551	2.058	0.2717
1.657	0.9103	0.2719
1.587	1.176	0.2704
1.533	1.064	0.2854
1.556	-1.961	0.2798
1.528	2.635	0.2884
1.512	-0.2161	0.3237
1.539	-4.088	0.294
1.566	0.8267	0.3123
1.599	-0.05719	0.3188
1.557	0.6335	0.3015
1.638	-3.035	0.2974
1.582	2.196	0.3085
1.684	1.599	0.3169
1.619	2.091	0.3307
1.631	-2.578	0.3203
1.648	1.765	0.3091
1.682	1.654	0.324
1.643	-2.429	0.3465
1.667	-1.696	0.3702
1.611	-0.7229	0.325
1.572	-2.79	0.3179
1.673	0.7873	0.381
1.634	1.956	0.3679
1.574	3.419	0.3087
1.584	-2.368	0.2993
1.541	3.284	0.2885
1.534	-1.815	0.2682
1.472	1.062	0.2788
1.537	2.535	0.2765
1.534	-0.4237	0.2792
1.513	1.655	0.2775
1.407	2.702	0.2766
1.514	1.547	0.2684
1.431	1.553	0.2661
1.354	-0.06583	0.2533
1.253	0.4263	0.1927
1.287	-0.1174	0.1447
1.065	-0.7732	0.05708
1.553	-4.766	0.2695
1.438	-2.541	0.2169
1.278	-0.3355	0.1362
1.376	-0.4082	0.1888
1.253	0.1078	0.09238
1.613	0.5683	0.3138
1.674	-6.231	0.2851
1.588	-0.9873	0.3102
1.656	3.327	0.3703
1.684	0.09731	0.3781
1.849	0.3729	0.4043
1.677	-5.669	0.3317
1.646	1.643	0.3855
1.769	2.46	0.4171
1.804	2.253	0.4406
1.667	1.994	0.435
1.799	0.8029	0.4252
1.631	0.998	0.4139
1.632	1.157	0.3995
1.629	1.162	0.3731
1.641	0.9857	0.3576
1.618	1.768	0.3395
1.581	0.1482	0.3479
1.602	0.6744	0.3551
1.691	2.392	0.3717
1.668	0.6073	0.375
1.617	1.133	0.3522
1.599	1.597	0.3312
1.246	-0.01305	0.06007
1.586	0.2712	0.2092
1.729	0.5429	0.3319
1.788	1.418	0.3912
1.187	1.954	-0.02967
1.656	-0.3452	0.2241
1.502	-5.04	0.1892
1.776	2.759	0.3378
1.921	1.651	0.3905
1.026	-0.3855	-0.03487
0.9688	-0.8871	-0.02159
1.104	-0.1761	0.03373
1.566	-5.652	0.253
1.57	-3.792	0.2516
1.563	-4.196	0.2682
1.56	-3.001	0.2477
1.561	-3.404	0.2872
1.566	-4.176	0.2549
1.574	-4.574	0.2605
1.577	-2.767	0.2921
1.578	-6.836	0.2683
1.555	2.168	0.3155
1.555	2.829	0.337
1.556	1.562	0.3191
1.55	0.6243	0.3423
1.546	1.072	0.3507
1.552	0.1456	0.3468
1.546	0.6062	0.3489
1.552	-2.737	0.3503
1.539	1.507	0.3486
1.56	-1.441	0.3207
1.575	-0.7223	0.3135
1.556	0.4729	0.3205
1.543	2.684	0.3392
1.534	1.593	0.3439
1.571	1.761	0.3248
1.599	-1.473	0.3014
1.553	-3.717	0.3382
1.546	1.424	0.3354
1.556	2.256	0.3259
1.565	0.5726	0.328
1.56	2.264	0.319
1.566	-3.131	0.2606
1.565	-4.576	0.243
1.546	-4.017	0.2708
1.541	-4.267	0.2557
1.559	-2.37	0.2437
1.559	-1.681	0.2355
1.554	-2.063	0.2347
1.462	3.128	0.2996
1.461	2.268	0.2853
